filename,file,brands
https://olm-s3.s3.eu-west-1.amazonaws.com/2020/01/05/ZS8BFkReD3sPjdvB3Ci1tO3KhsKrk5QOMuHg4sv4.jpeg,resc_2020@01@05@ZS8BFkReD3sPjdvB3Ci1tO3KhsKrk5QOMuHg4sv4.jpeg,heineken
https://olm-s3.s3.eu-west-1.amazonaws.com/2020/01/05/iSoN1xTuIuXiDoVGEbb87gIMMJt8RnoFduflL8su.jpeg,resc_2020@01@05@iSoN1xTuIuXiDoVGEbb87gIMMJt8RnoFduflL8su.jpeg,heineken
https://olm-s3.s3.eu-west-1.amazonaws.com/2020/01/05/5781.png,resc_2020@01@05@5781.png,coke
https://olm-s3.s3.eu-west-1.amazonaws.com/2020/01/05/5785.png,resc_2020@01@05@5785.png,marlboro
https://olm-s3.s3.eu-west-1.amazonaws.com/2020/01/05/5787.png,resc_2020@01@05@5787.png,mcdonalds
https://olm-s3.s3.eu-west-1.amazonaws.com/2020/01/05/5787.png,resc_2020@01@05@5787.png,mcdonalds
https://olm-s3.s3.eu-west-1.amazonaws.com/2020/01/05/0A88A5C0-0213-4A52-A81A-9686891B9770.png,resc_2020@01@05@0A88A5C0-0213-4A52-A81A-9686891B9770.png,cadburys
https://olm-s3.s3.eu-west-1.amazonaws.com/2020/01/05/B80643C4-646F-44D1-86FC-6FEDB652E82A.png,resc_2020@01@05@B80643C4-646F-44D1-86FC-6FEDB652E82A.png,lucozade
https://olm-s3.s3.eu-west-1.amazonaws.com/2020/01/05/BC3F4E11-E8A9-4B15-B04F-D797D1E0982C.png,resc_2020@01@05@BC3F4E11-E8A9-4B15-B04F-D797D1E0982C.png,corona
https://olm-s3.s3.eu-west-1.amazonaws.com/2020/01/05/B299481E-1E72-487A-A94A-6E21F8763632.png,resc_2020@01@05@B299481E-1E72-487A-A94A-6E21F8763632.png,corona
https://olm-s3.s3.eu-west-1.amazonaws.com/2020/01/05/510040D6-BCA2-4EB7-9ED6-E76E2594DAE4.png,resc_2020@01@05@510040D6-BCA2-4EB7-9ED6-E76E2594DAE4.png,corona
https://olm-s3.s3.eu-west-1.amazonaws.com/2020/01/05/5789.png,resc_2020@01@05@5789.png,carlsberg
https://olm-s3.s3.eu-west-1.amazonaws.com/2020/01/05/5790.png,resc_2020@01@05@5790.png,mcdonalds
https://olm-s3.s3.eu-west-1.amazonaws.com/2020/01/05/5791.png,resc_2020@01@05@5791.png,doritos
https://olm-s3.s3.eu-west-1.amazonaws.com/2020/01/05/5793.png,resc_2020@01@05@5793.png,cadburys
https://olm-s3.s3.eu-west-1.amazonaws.com/2020/01/05/5800.png,resc_2020@01@05@5800.png,mcdonalds
https://olm-s3.s3.eu-west-1.amazonaws.com/2020/01/05/5804.png,resc_2020@01@05@5804.png,mcdonalds
https://olm-s3.s3.eu-west-1.amazonaws.com/2020/01/05/5805.png,resc_2020@01@05@5805.png,mcdonalds
https://olm-s3.s3.eu-west-1.amazonaws.com/2020/01/05/5810.png,resc_2020@01@05@5810.png,mcdonalds
https://olm-s3.s3.eu-west-1.amazonaws.com/2020/01/04/cH1elNyrJ377ch7r3wjsK7Sm2R4r5mmQCXQsNFik.jpeg,resc_2020@01@04@cH1elNyrJ377ch7r3wjsK7Sm2R4r5mmQCXQsNFik.jpeg,nestle
https://olm-s3.s3.eu-west-1.amazonaws.com/2020/01/04/7RfnTQZ1sPPzIxDNdFDBqWk47zfUmZ9Plm0MzvaO.jpeg,resc_2020@01@04@7RfnTQZ1sPPzIxDNdFDBqWk47zfUmZ9Plm0MzvaO.jpeg,mcdonalds
https://olm-s3.s3.eu-west-1.amazonaws.com/2020/01/06/5849.png,resc_2020@01@06@5849.png,coke
